Year,Month ,Date,Handline,Trap,Unk,Total Catch,Comments
2020,January,NA,0,0,321,321,dates Unk
2020,February,2/2/2020,154,0,0,154,
2020,February,2/3/2020,134,0,0,134,
2020,February,2/24/2020,245,96,0,341,
2020,February,2/25/2020,303,225,0,528,
2020,February,2/26/2020,193,229,0,422,
2020,February,2/27/2020,208,22,0,230,
2020,February,2/28/2020,52,40,0,92,
2020,February,2/29/2020,0,190,0,190,
2020,February,NA,0,0,60,60,dates Unk
2020,March,3/1/2020,96,92,0,188,
2020,March,3/2/2020,134,0,0,134,
2020,March,3/3/2020,65,0,0,65,
2020,March,3/4/2020,122,0,0,122,
2020,April,4/28/2020,217,0,0,217,
2020,April,4/29/2020,107,0,0,107,
2020,April,4/30/2020,113,0,0,113,
2020,April,NA,0,0,529,529,dates Unk
2020,May,NA,0,0,0,0,
2020,June,NA,0,0,0,0,
2020,July,NA,0,0,0,0,
2020,August,NA,0,0,0,0,
2020,September,9/15/2020,291,246,0,537,numbers are missing
2020,September,9/16/2020,250,348,0,598,
2020,September,9/17/2020,271,374,0,645,
2020,September,9/18/2020,407,249,0,656,
2020,September,9/19/2020,416,319,0,735,
2020,September,9/20/2020,388,350,0,738,
2020,September,9/21/2020,221,218,0,439,
2020,September,9/22/2020,356,70,0,426,
2020,October,10/12/2020,82,0,0,82,catch not finished
2020,October,10/13/2020,371,170,0,541,
2020,October,10/14/2020,1040,300,0,1340,
2020,October,10/15/2020,777,300,0,1077,
2020,October,10/16/2020,750,368,0,1118,
2020,November,11/12/2020,200,0,0,200,
2020,November,11/13/2020,720,55,0,775,
2020,November,11/14/2020,322,432,0,754,
2020,November,11/15/2020,360,421,0,781,
2020,November,11/16/2020,302,597,0,899,
2020,November,11/17/2020,331,200,0,531,
2020,November,11/18/2020,0,321,0,321,
2020,November,11/19/2020,0,315,0,315,
2020,December,12/12/2020,452,32,0,484,
2020,December,12/13/2020,302,29,0,331,
2020,December,12/14/2020,306,267,0,573,
2020,December,12/15/2020,275,353,0,628,
2020,December,12/16/2020,170,106,0,276,
2020,December,12/17/2020,0,148,0,148,
2020,December,12/18/2020,0,117,0,117,
2020,December,12/19/2020,0,25,0,25,
